name,slug,value,date_of_information,ranking,region
"Belize","belize","$8,800","2021 est.","151","Central America and the Caribbean"
"Bolivia","bolivia","$8,100","2021 est.","152","South America"
"Morocco","morocco","$8,100","2021 est.","153","Africa"
"Philippines","philippines","$8,100","2021 est.","154","East and Southeast Asia"
"Laos","laos","$7,800","2021 est.","155","East and Southeast Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$7,800","FY09/10 est.","156","Africa"
"Venezuela","venezuela","$7,704","2018 est.","157","South America"
"Uzbekistan","uzbekistan","$7,700","2021 est.","158","Central Asia"
"India","india","$6,600","2021 est.","159","South Asia"
"Cabo Verde","cabo-verde","$6,100","2021 est.","160","Africa"
"Tonga","tonga","$6,100","2021 est.","161","Australia and Oceania"
"Tokelau","tokelau","$6,004","2017 est.","162","Australia and Oceania"
"Marshall Islands","marshall-islands","$6,000","2021 est.","163","Australia and Oceania"
"Angola","angola","$5,900","2021 est.","164","Africa"
"Bangladesh","bangladesh","$5,900","2021 est.","165","South Asia"
"Niue","niue","$5,800","2003 est.","166","Australia and Oceania"
"Gaza Strip","gaza-strip","$5,600","2021 est.","167","Middle East"
"Honduras","honduras","$5,600","2021 est.","168","Central America and the Caribbean"
"Nicaragua","nicaragua","$5,600","2021 est.","169","Central America and the Caribbean"
"West Bank","west-bank","$5,600","2021 est.","170","Middle East"
"Samoa","samoa","$5,500","2021 est.","171","Australia and Oceania"
"Ghana","ghana","$5,400","2021 est.","172","Africa"
"Cote d'Ivoire","cote-divoire","$5,300","2021 est.","173","Africa"
"Mauritania","mauritania","$5,300","2021 est.","174","Africa"
"Pakistan","pakistan","$5,200","2021 est.","175","South Asia"
"Timor-Leste","timor-leste","$5,000","2021 est.","176","East and Southeast Asia"
"Djibouti","djibouti","$4,900","2021 est.","177","Africa"
"Nigeria","nigeria","$4,900","2021 est.","178","Africa"
"Tuvalu","tuvalu","$4,900","2021 est.","179","Australia and Oceania"
"Kyrgyzstan","kyrgyzstan","$4,800","2021 est.","180","Central Asia"
"Kenya","kenya","$4,700","2021 est.","181","Africa"
"Cambodia","cambodia","$4,400","2021 est.","182","East and Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","$4,100","2021 est.","183","Africa"
"Burma","burma","$4,000","2021 est.","184","East and Southeast Asia"
"Tajikistan","tajikistan","$3,900","2021 est.","185","Central Asia"
"Nepal","nepal","$3,800","2021 est.","186","South Asia"
"Wallis and Futuna","wallis-and-futuna","$3,800","2004 est.","187","Australia and Oceania"
"Cameroon","cameroon","$3,700","2021 est.","188","Africa"
"Papua New Guinea","papua-new-guinea","$3,700","2021 est.","189","East and Southeast Asia"
"Sudan","sudan","$3,700","2021 est.","190","Africa"
"Senegal","senegal","$3,500","2021 est.","191","Africa"
"Benin","benin","$3,300","2021 est.","192","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$3,300","2021 est.","193","Australia and Oceania"
"Comoros","comoros","$3,200","2021 est.","194","Africa"
"Congo, Republic of the","congo-republic-of-the","$3,200","2021 est.","195","Africa"
"Zambia","zambia","$3,200","2021 est.","196","Africa"
"Haiti","haiti","$2,900","2021 est.","197","Central America and the Caribbean"
"Syria","syria","$2,900","2015 est.","198","Middle East"
"Vanuatu","vanuatu","$2,800","2021 est.","199","Australia and Oceania"
"Guinea","guinea","$2,600","2021 est.","200","Africa"
"Tanzania","tanzania","$2,600","2021 est.","201","Africa"
"Yemen","yemen","$2,500","2017 est.","202","Middle East"
"Solomon Islands","solomon-islands","$2,400","2021 est.","203","Australia and Oceania"
"Ethiopia","ethiopia","$2,300","2021 est.","204","Africa"
"Lesotho","lesotho","$2,300","2021 est.","205","Africa"
"Burkina Faso","burkina-faso","$2,200","2021 est.","206","Africa"
"Rwanda","rwanda","$2,200","2021 est.","207","Africa"
"Uganda","uganda","$2,200","2021 est.","208","Africa"
"Gambia, The","gambia-the","$2,100","2021 est.","209","Africa"
"Mali","mali","$2,100","2021 est.","210","Africa"
"Togo","togo","$2,100","2021 est.","211","Africa"
