fossil fuels: ,nuclear: ,solar: ,wind: ,hydroelectricity: ,tide and wave: ,geothermal: ,biomass and waste: 
73.5,4.8,8.8,1.0,10.0,0.0,0.3,1.6
83.5,0.0,11.7,4.6,0.2,0.0,0.0,0.0
88.2,0.0,0.9,0.7,10.1,0.0,0.0,0.0
8.3,0.0,1.0,10.7,32.6,0.0,46.2,1.2
84.9,0.0,15.1,0.0,0.0,0.0,0.0,0.0
15.8,0.0,0.1,0.0,84.1,0.0,0.0,0.0
64.8,27.7,3.3,0.6,1.3,0.7,0.0,1.7
95.6,0.0,0.1,1.1,3.2,0.0,0.0,0.0
99.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,91.5,0.0,0.0,0.0
35.6,0.0,0.1,0.0,64.1,0.0,0.0,0.2
33.4,0.0,0.1,3.2,47.5,0.0,0.0,15.9
94.3,0.0,0.5,0.0,5.0,0.0,0.0,0.2
0.0,0.0,0.2,0.0,99.8,0.0,0.0,0.0
40.5,0.0,0.5,0.0,59.1,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,3.0,35.5,6.9,0.0,0.0,16.7
13.8,0.0,14.6,27.7,7.5,0.0,0.0,36.4
66.4,0.0,0.0,0.0,0.0,0.0,0.0,33.6
59.8,0.0,1.1,0.0,38.2,0.0,0.0,1.0
11.8,0.0,3.2,0.0,81.9,0.0,0.0,3.2
87.5,0.0,0.7,0.0,10.9,0.0,0.0,1.0
99.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0
67.4,0.0,1.0,0.0,29.7,0.0,0.0,1.9
88.5,0.0,11.2,0.0,0.0,0.0,0.0,0.3
73.2,0.0,8.1,6.8,11.9,0.0,0.0,0.0
75.4,0.0,5.3,0.7,3.7,0.0,0.0,15.0
75.7,3.6,4.4,6.5,7.6,0.0,1.5,0.8
93.6,0.0,0.1,1.2,4.5,0.0,0.0,0.6
89.2,0.0,1.3,8.1,1.3,0.0,0.0,0.0
42.3,0.0,0.0,10.5,47.2,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.6,0.0,1.1,13.0,4.4,0.0,0.0,0.0
19.6,0.0,0.2,0.0,79.6,0.0,0.0,0.6
6.1,0.0,4.7,0.5,88.8,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.6,0.2,97.2,0.0,0.0,0.0
68.3,3.3,6.8,13.1,0.0,0.0,0.0,8.5
91.2,0.0,0.0,1.5,7.4,0.0,0.0,0.0
19.5,0.0,0.4,5.3,54.8,0.1,18.6,1.4
37.8,0.0,0.5,15.7,12.2,0.0,16.7,17.2
94.1,0.0,5.9,0.0,0.0,0.0,0.0,0.0
78.1,0.0,0.2,0.0,21.7,0.0,0.0,0.1
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.4,0.0,0.5,2.3,24.7,0.0,0.0,1.1
1.2,0.0,0.0,6.4,92.1,0.0,0.0,0.3
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.2,8.2,1.0,2.8,31.9,0.0,0.0,0.8
24.5,0.0,2.7,6.4,66.2,0.0,0.0,0.2
80.2,0.0,0.0,0.0,18.9,0.0,0.0,1.0
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
38.5,0.0,1.5,3.5,55.4,0.0,0.0,1.1
77.6,0.0,1.3,1.1,8.0,0.0,11.0,1.1
79.8,0.0,1.4,10.8,2.0,0.0,0.0,6.0
39.0,0.0,3.2,23.3,26.5,0.0,0.4,7.7
94.8,0.0,1.4,3.4,0.3,0.0,0.0,0.1
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.1,20.4,3.4,13.4,29.9,0.0,0.0,0.9
59.4,21.0,0.2,0.0,19.1,0.0,0.0,0.3
39.0,0.0,6.5,0.0,53.9,0.0,0.0,0.6
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.3,0.0,0.0,3.7,0.0,0.0,0.0,0.0
99.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.5,0.0,0.7,0.0,25.8,0.0,0.0,0.0
72.7,0.0,0.0,0.1,27.2,0.0,0.0,0.0
89.5,0.0,0.0,0.0,10.5,0.0,0.0,0.0
99.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0
84.8,0.0,6.0,0.5,6.3,0.0,0.0,2.4
69.2,0.0,0.0,2.9,27.3,0.0,0.0,0.5
99.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0
8.2,0.0,2.9,0.0,87.0,0.0,0.0,1.9
96.5,0.0,1.2,0.0,0.0,0.0,0.0,2.3
19.7,55.4,2.4,0.0,16.8,0.2,0.0,5.6
27.2,36.8,2.2,0.0,32.0,0.0,0.0,1.7
94.8,0.0,2.7,0.0,0.0,0.0,0.0,2.6
95.3,0.0,3.0,1.7,0.0,0.0,0.0,0.0
87.9,5.2,1.6,2.6,2.5,0.0,0.0,0.2
99.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0
32.4,21.9,8.1,22.1,13.1,0.0,0.0,2.6
64.0,0.0,0.7,2.3,32.2,0.0,0.0,0.8
43.5,0.0,0.1,0.0,55.5,0.0,0.0,0.9
40.5,0.0,0.4,0.0,58.8,0.0,0.0,0.3
1.0,29.5,0.7,17.2,44.7,0.0,0.0,6.9
0.8,34.2,3.8,0.2,56.3,0.0,0.0,4.7
95.1,0.0,0.0,0.0,4.8,0.0,0.0,0.2
82.2,11.2,2.2,0.9,2.2,0.0,0.0,1.3
8.7,0.0,0.0,0.0,91.3,0.0,0.0,0.0
65.0,0.0,1.3,0.0,32.8,0.0,0.0,1.0
83.3,0.0,2.8,1.7,2.6,0.0,0.0,9.6
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.2,0.0,0.6,0.0,17.2,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0
95.9,0.0,1.3,2.6,0.3,0.0,0.0,0.0
56.2,0.0,3.8,8.4,26.3,0.4,3.4,1.5
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,1.6,0.0,86.4,0.0,0.0,10.8
37.6,55.9,1.2,1.4,3.6,0.0,0.0,0.3
95.7,1.3,3.0,0.0,0.0,0.0,0.0,0.0
37.8,15.2,4.3,25.2,2.6,0.0,0.0,15.0
59.9,19.5,3.2,8.3,7.0,0.0,0.4,1.7
2.0,0.0,3.6,42.2,30.6,0.0,0.0,21.6
88.1,0.0,0.0,0.0,11.9,0.0,0.0,0.0
84.5,0.0,8.2,7.4,0.0,0.0,0.0,0.0
30.5,0.0,0.0,0.1,69.4,0.0,0.0,0.0
70.7,0.0,2.4,0.4,25.2,0.0,0.0,1.4
98.9,0.0,1.1,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.6,10.3,3.3,6.2,17.0,0.0,0.4,2.4
84.6,0.0,15.4,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.9,0.0,85.5,0.0,0.0,0.5
32.9,0.0,0.1,0.0,65.3,0.0,0.0,1.7
